insta_id,user,followers,following,posts,date_Scrape,url
1,bnymellon,5737,26,97,"2021-03-23 19:38:16",https://www.instagram.com/bnymellon/?hl=en
2,guggenheim,2597565,727,3966,"2021-03-23 19:42:09",https://www.instagram.com/guggenheim/?hl=en
3,voyainvestments,288,18,147,"2021-03-24 23:25:49",https://www.instagram.com/voyainvestments/?hl=en
4,lazard,3047,90,325,"2021-03-24 23:44:00",https://www.instagram.com/lazard/?hl=en
5,santanderbankus,6700,0,138,"2021-03-24 23:46:48",https://www.instagram.com/santanderbankus/?hl=en
6,pictetgroup,4040,379,236,"2021-03-24 23:50:10",https://www.instagram.com/pictetgroup/?hl=en
7,robeco_am,11627,37,104,"2021-03-24 23:51:50",https://www.instagram.com/robeco_am/?hl=en
8,eastspringmy,1649,16,189,"2021-03-24 23:59:04",https://www.instagram.com/eastspringmy/?hl=en
9,americancentury,1496,118,502,"2021-03-25 00:03:00",https://www.instagram.com/americancentury/?hl=en
10,putnaminvestments,1938,15,260,"2021-03-25 00:03:53",https://www.instagram.com/putnaminvestments/?hl=en
11,zkb.ch,6217,159,656,"2021-03-25 00:08:04",https://www.instagram.com/zkb.ch/?hl=en
12,lordabbett,540,69,200,"2021-03-25 00:11:35",https://www.instagram.com/lordabbett/?hl=en
13,johnhancock,8435,150,442,"2021-03-25 00:16:10",https://www.instagram.com/johnhancock/?hl=en
14,ampatcapital,1126,1209,560,"2021-03-25 00:23:05",https://www.instagram.com/ampatcapital/?hl=en
15,investec,18214,70,454,"2021-03-25 00:25:22",https://www.instagram.com/investec/?hl=en
16,clearbridgeinvestments,116,2,8,"2021-03-25 00:29:30",https://www.instagram.com/clearbridgeinvestments/?hl=en
17,danskebank_lt,760,131,131,"2021-03-25 00:30:57",https://www.instagram.com/danskebank_lt/?hl=en
18,cibc_private_wealth_us,2359,2567,603,"2021-03-25 02:00:50",https://www.instagram.com/cibc_private_wealth_us/?hl=en
19,igmgroup,1002,422,97,"2021-03-25 02:02:16",https://www.instagram.com/igmgroup/?hl=en
20,miraeassetglobalinvestments,17,0,0,"2021-03-25 02:03:38",https://www.instagram.com/miraeassetglobalinvestments/?hl=en
21,groupamaam,183,137,52,"2021-03-25 02:05:13",https://www.instagram.com/groupamaam/?hl=en
22,bbvaamcolombia,2136,2,150,"2021-03-25 02:07:24",https://www.instagram.com/bbvaamcolombia/?hl=en
23,hines,20496,616,1425,"2021-03-25 02:14:32",https://www.instagram.com/hines/?hl=en
24,cbre,64362,341,1576,"2021-03-25 02:21:10",https://www.instagram.com/cbre/?hl=en
25,blackrock,31770,78,132,"2021-04-05 19:53:15",https://www.instagram.com/blackrock/?hl=en
26,irishlife.ie,2787,1014,187,"2021-04-07 17:02:41",https://www.instagram.com/irishlife.ie/?hl=en
27,ofi_am,12,0,0,"2021-04-07 17:03:28",https://www.instagram.com/ofi_am/?hl=en
28,rothschildandco,4707,0,135,"2021-04-07 17:05:43",https://www.instagram.com/rothschildandco/?hl=en
29,prologis_polska,310,0,30,"2021-04-07 17:12:01",https://www.instagram.com/prologis_polska/?hl=en
30,edmondderothschildheritage,3049,576,195,"2021-04-07 17:12:54",https://www.instagram.com/edmondderothschildheritage/?hl=en
31,ersteassetmanagement,481,5,66,"2021-04-07 17:16:01",https://www.instagram.com/ersteassetmanagement/?hl=en
32,williamblairim,215,25,106,"2021-04-07 17:20:42",https://www.instagram.com/williamblairim/?hl=en
33,privatbank1796,1110,341,395,"2021-04-07 19:16:50",https://www.instagram.com/privatbank1796/?hl=en
